mindat_ID,location name,count,mo_spinel_minerals
226873,"Koh Band District, Kapisa, Afghanistan",1,Magnetite
226297,"Duzd Dara Fe Deposit (Doz Dara), Koh Band District, Kapisa, Afghanistan",1,Magnetite
227133,"Kohistan District, Kapisa, Afghanistan",1,Magnetite
226318,"Hesar Fe Occurrence (Hazar), Kohistan District, Kapisa, Afghanistan",1,Magnetite
226352,"Khost, Afghanistan",1,Chromite
226874,"Spera District, Khost, Afghanistan",1,Chromite
226527,"Shadal (Shodal), Spera District, Khost, Afghanistan",1,Chromite
30599,"Logar, Afghanistan",2,"Magnetite,Chromite"
9,"Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",2,"Magnetite,Chromite"
30621,"Aynak Cu Deposit (Mes Aynak), Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Magnetite
30622,"Aynak Central Prospect, Aynak Cu Deposit (Mes Aynak), Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Magnetite
226383,"Makhmudgazi Cr Deposit, Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Chromite
226384,"Makhmudgazi No. 1 Occurrence, Makhmudgazi Cr Deposit, Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Chromite
226385,"Makhmudgazi No. 2 Occurrence, Makhmudgazi Cr Deposit, Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Chromite
226476,"Shinkay Fe Occurrence (Sheenkay; Sheenky), Mohammad Agha District (Muhammad Agha District), Logar, Afghanistan",1,Magnetite
226883,"Pul-i-Alam District, Logar, Afghanistan",1,Chromite
226379,"Koh-i-Kalawur Cr Occurrence (Koh-e-Kalawur), Pul-i-Alam District, Logar, Afghanistan",1,Chromite
226380,"Kolangar Cr Deposit (Kulangar; Deposit No. 10), Pul-i-Alam District, Logar, Afghanistan",1,Chromite
226381,"Lowgar Cr Deposit (Loghar; Logar), Pul-i-Alam District, Logar, Afghanistan",1,Chromite
30539,"Nangarhar, Afghanistan",2,"Chromite,Magnetite"
226357,"Hisarak District, Nangarhar, Afghanistan",1,Chromite
226228,"Hisarak Cr Deposit (Hezarak), Hisarak District, Nangarhar, Afghanistan",1,Chromite
188582,"Sperkaw Cr Deposit, Hisarak District, Nangarhar, Afghanistan",1,Chromite
188777,"Khogyani District, Nangarhar, Afghanistan",1,Magnetite
226917,"Spin Ghar Range (Speen Ghar Range), Khogyani District, Nangarhar, Afghanistan",1,Magnetite
211209,"Marki Khel, Spin Ghar Range (Speen Ghar Range), Khogyani District, Nangarhar, Afghanistan",1,Magnetite
30600,"Oruzgan, Afghanistan",1,Magnetite
226955,"Khas Uruzgan District, Oruzgan, Afghanistan",1,Magnetite
227539,"Unnamed Cu Occurrence (4), Khas Uruzgan District, Oruzgan, Afghanistan",1,Magnetite
227540,"Unnamed Cu Occurrence (5), Khas Uruzgan District, Oruzgan, Afghanistan",1,Magnetite
30779,"Panjshir, Afghanistan",2,"Magnesioferrite,Magnetite"
227105,"Khinj District, Panjshir, Afghanistan",2,"Magnesioferrite,Magnetite"
272250,"Panjsher Valley Slag Deposits, Khinj District, Panjshir, Afghanistan",2,"Magnesioferrite,Magnetite"
30940,"Parwan, Afghanistan",1,Chromite
227156,"Kohi Safi District, Parwan, Afghanistan",1,Chromite
226325,"Jurghati Cr Occurrence, Kohi Safi District, Parwan, Afghanistan",1,Chromite
12359,"Wardak, Afghanistan",2,"Magnetite,Chromite"
227096,"Hisa-i-Awali Bihsud District, Wardak, Afghanistan",1,Magnetite
226618,"Chuli Fe Occurrence (Chuy), Hisa-i-Awali Bihsud District, Wardak, Afghanistan",1,Magnetite
226628,"Harzar Fe Deposit, Hisa-i-Awali Bihsud District, Wardak, Afghanistan",1,Magnetite
123218,"Khaish Fe Deposit (Khish), Hisa-i-Awali Bihsud District, Wardak, Afghanistan",1,Magnetite
226644,"Sausang Fe Occurrence, Hisa-i-Awali Bihsud District, Wardak, Afghanistan",1,Magnetite
123219,"Zerak Fe Deposit, Hisa-i-Awali Bihsud District, Wardak, Afghanistan",1,Magnetite
227097,"Markazi Bihsud District, Wardak, Afghanistan",1,Magnetite
226211,"Mangasak Fe Occurrence, Markazi Bihsud District, Wardak, Afghanistan",1,Magnetite
227092,"Nirkh District, Wardak, Afghanistan",1,Chromite
226828,"Unnamed Cr Occurrence (1), Nirkh District, Wardak, Afghanistan",1,Chromite
226829,"Unnamed Cr Occurrence (2), Nirkh District, Wardak, Afghanistan",1,Chromite
30602,"Zabul, Afghanistan",1,Magnetite
227085,"Arghandab District, Zabul, Afghanistan",1,Magnetite
226602,"Unnamed Au Occurrence (1), Arghandab District, Zabul, Afghanistan",1,Magnetite
227083,"Daychopan District, Zabul, Afghanistan",1,Magnetite
30556,"Deposit No. 551, Daychopan District, Zabul, Afghanistan",1,Magnetite
226401,"Ekrak Au-Cu Deposit, Daychopan District, Zabul, Afghanistan",1,Magnetite
226573,"Qarya-i-Baki Bi-Cu-W Occurrence, Daychopan District, Zabul, Afghanistan",1,Magnetite
227086,"Mizan District, Zabul, Afghanistan",1,Magnetite
30776,"Bagwan Cu-Au Occurrences (Baghawan), Mizan District, Zabul, Afghanistan",1,Magnetite
226400,"Drushak Cu Occurrence (Dorushak; Dorushka), Mizan District, Zabul, Afghanistan",1,Magnetite
226422,"Kundalan Cu-polymetallic Deposit (Kundalyan; Kundelan), Mizan District, Zabul, Afghanistan",1,Magnetite
226396,"Mizan Cu Occurrence, Mizan District, Zabul, Afghanistan",1,Magnetite
226435,"Unnamed Au-Cu Occurrence (2), Mizan District, Zabul, Afghanistan",1,Magnetite
22430,Albania,3,"Magnetite,Chromite,Spinel"
159402,"Dibër County, Albania",3,"Magnetite,Chromite,Spinel"
248520,"Kaptina Ophitolite Massif, Dibër County, Albania",1,Magnetite
31364,"Mat District, Dibër County, Albania",2,"Chromite,Spinel"
29711,"Bater-Martanesh District, Mat District, Dibër County, Albania",2,"Chromite,Spinel"
8580,"Bater Mines (Batra Mines), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
30761,"Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",2,"Spinel,Chromite"
122797,"Bater, Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Spinel
122795,"Bulqiza, Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",2,"Spinel,Chromite"
27543,"Bulqiza Mine (Bulquize Mine; Bulqizë Mine), Bulqiza, Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
275182,"Ceruje (Cerruja; Ceruja; Cerruje; Cerunje), Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
27550,"Cerruja Deposit, Ceruje (Cerruja; Ceruja; Cerruje; Cerunje), Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
27549,"Krasta Deposit, Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
248501,"Lugu Gjate, Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
248502,"Quafe Buall, Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
122794,"Shkalla, Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Spinel
248503,"Ternove, Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
122796,"Thekna, Bulqiza Complex (Bulqiza Massif), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Spinel
276736,"Martanesh (Kaptina; Martaneshi), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
27548,"Martanesh Mine, Martanesh (Kaptina; Martaneshi), Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
27544,"Todo Manco Mine, Bater-Martanesh District, Mat District, Dibër County, Albania",1,Chromite
121058,"Elbasan County, Albania",1,Spinel
285763,"Librazhd District, Elbasan County, Albania",1,Spinel
