mineral_id	mineral_name	mineral_display_name	rruff_chemistry	ima_chemistry	chemistry_elements
1771	Ercitite	Ercitite	NaMn^3+^PO_4_(OH)·2H_2_O	NaMn^3+^(PO_4_)(OH)·2H_2_O	"Na Mn P O H"
1772	Erdite	Erdite	NaFe^3+^S^2-^_2_·2H_2_O	NaFeS_2_·2H_2_O	"Na Fe S H O"
1773	Ericaite	Ericaite	Fe^2+^_3_B_7_O_13_Cl	Fe^2+^_3_B_7_O_13_Cl	"Fe B O Cl"
1774	Ericssonite	Ericssonite	BaMn^2+^_2_Fe^3+^(Si_2_O_7_)O(OH)	BaMn^2+^_2_Fe^3+^(Si_2_O_7_)O(OH)	"Ba Mn Fe Si O H"
1775	Eriochalcite	Eriochalcite	Cu^2+^Cl_2_·2H_2_O	CuCl_2_·2H_2_O	"Cu Cl H O"
1776	Erionite-Ca	Erionite-Ca	Ca_5_(Si_26_Al_10_O_72_)·30H_2_O	Ca_5_[Si_26_Al_10_O_72_]·30H_2_O	"Ca Si Al O H"
1777	Erionite-K	Erionite-K	K_10_(Si_26_Al_10_O_72_)·30H_2_O	K_10_[Si_26_Al_10_O_72_]·30H_2_O	"K Si Al O H"
1778	Erionite-Na	Erionite-Na	Na_10_(Si_26_Al_10_O_72_)·30H_2_O	Na_10_[Si_26_Al_10_O_72_]·30H_2_O	"Na Si Al O H"
1779	Erlianite	Erlianite	Fe^2+^_4_Fe^3+^_2_Si_6_O_15_(OH)_8_	Fe^2+^_4_Fe^3+^_2_Si_6_O_15_(OH)_8_	"Fe Si O H"
1780	Erlichmanite	Erlichmanite	Os^2+^(S_2_)^2-^	OsS_2_	"Os S"
1781	Ernienickelite	Ernienickelite	Ni^2+^Mn^4+^_3_O_7_·3H_2_O	NiMn^4+^_3_O_7_·3H_2_O	"Ni Mn O H"
1782	Erniggliite	Erniggliite	Tl_2_SnAs_2_S_6_	Tl_2_SnAs_2_S_6_	"Tl Sn As S"
1783	Ernstite	Ernstite	(Mn^2+^,Fe^3+^)AlPO_4_(OH,O)_2_	(Mn^2+^,Fe^3+^)Al(PO_4_)(OH,O)_2_	"Mn Fe Al P O H"
1784	Ershovite	Ershovite	K_3_Na_4_(Fe^2+^,Mn^2+^,Ti^4+^)_2_Si_8_O_20_(OH,O)_4_·4H_2_O	K_3_Na_4_(Fe,Mn,Ti)_2_Si_8_O_20_(OH,O)_4_·4H_2_O	"K Na Fe Mn Ti Si O H"
1785	Ertixiite	Ertixiite	Na_2_Si_4_O_9_	Na_2_Si_4_O_9_	"Na Si O"
1786	Erythrite	Erythrite	Co^2+^_3_(As^5+^O_4_)_2_·8H_2_O	Co_3_(AsO_4_)_2_·8H_2_O	"Co As O H"
1787	Erythrosiderite	Erythrosiderite	K_2_Fe^3+^Cl_5_·H_2_O	K_2_Fe^3+^Cl_5_·H_2_O	"K Fe Cl H O"
1788	Eskebornite	Eskebornite	Cu^1+^Fe^3+^Se^2-^_2_	CuFeSe_2_	"Cu Fe Se"
1789	Eskimoite	Eskimoite	Ag_7_Pb_10_Bi_15_S_36_	Ag_7_Pb_10_Bi_15_S_36_	"Ag Pb Bi S"
1790	Eskolaite	Eskolaite	Cr^3+^_2_O_3_	Cr_2_O_3_	"Cr O"
1791	Esperanzaite	Esperanzaite	NaCa_2_Al_2_(As^5+^O_4_)_2_F_4_(OH)·2H_2_O	NaCa_2_Al_2_(AsO_4_)_2_F_4_(OH)·2H_2_O	"Na Ca Al As O F H"
1792	Esperite	Esperite	Pb^2+^Ca_2_(Zn^2+^SiO_4_)_3_	PbCa_2_(ZnSiO_4_)_3_	"Pb Ca Zn Si O"
1793	Esseneite	Esseneite	CaFe^3+^AlSiO_6_	CaFe^3+^AlSiO_6_	"Ca Fe Al Si O"
1794	Ettringite	Ettringite	Ca_6_Al_2_(S^6+^O_4_)_3_(OH)_12_·26H_2_O	Ca_6_Al_2_(SO_4_)_3_(OH)_12_·26H_2_O	"Ca Al S O H"
1795	Eucairite	Eucairite	CuAgSe	CuAgSe	"Cu Ag Se"
1796	Euchlorine	Euchlorine	KNaCu^2+^_3_O(S^6+^O_4_)_3_	KNaCu_3_O(SO_4_)_3_	"K Na Cu O S"
1797	Euchroite	Euchroite	Cu^2+^_2_As^5+^O_4_(OH)·3H_2_O	Cu_2_(AsO_4_)(OH)·3H_2_O	"Cu As O H"
1798	Euclase	Euclase	BeAlSiO_4_(OH)	BeAlSiO_4_(OH)	"Be Al Si O H"
1799	Eucryptite	Eucryptite	LiAlSiO_4_	LiAlSiO_4_	"Li Al Si O"
1800	Eudidymite	Eudidymite	Na_2_Be_2_Si_6_O_15_·H_2_O	Na_2_Be_2_Si_6_O_15_·H_2_O	"Na Be Si O H"
1801	Eugenite	Eugenite	Ag_11_Hg_2_	Ag_11_Hg_2_	"Ag Hg"
1802	Eugsterite	Eugsterite	Na_4_Ca(S^6+^O_4_)_3_·2H_2_O	Na_4_Ca(SO_4_)_3_·2H_2_O	"Na Ca S O H"
1803	Eulytine	Eulytine	Bi_4_(SiO_4_)_3_	Bi_4_(SiO_4_)_3_	"Bi Si O"
1804	Euxenite-(Y)	Euxenite-(Y)	(Y^3+^,Ca,Ce^3+^,U^4+^,Th^4+^)(Nb^5+^,Ta^5+^,Ti^4+^)_2_O_6_	(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)_2_O_6_	"Y Ca Ce U Th Nb Ta Ti O"
1805	Eveite	Eveite	Mn^2+^_2_As^5+^O_4_(OH)	Mn^2+^_2_(AsO_4_)(OH)	"Mn As O H"
1806	Evenkite	Evenkite	C_23_H_48_	C_23_H_48_	"C H"
1807	Eveslogite	Eveslogite	(Ca,K,Na,Sr,Ba)_48_(Ti^4+^,Nb^5+^,Fe^2+^,Fe^3+^,Mn^2+^)_12_(OH)_12_Si_48_O_144_(OH,F,Cl)_14_	(Ca,K,Na,Sr,Ba)_48_(Ti,Nb,Fe,Mn)_12_(OH)_12_Si_48_O_144_(OH,F,Cl)_14_	"Ca K Na Sr Ba Ti Nb Fe Mn O H Si F Cl"
